name,genotype,age,sex,weight,rotation,shift,thal file,CC file,mrsthal_exclude,mrscc_exclude,exclusion reason,,CrCH2,Ala,Asp,Cr,GABA,Glc,Gln,GSH,Glu,GPC,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,sIns,Tau,tNAA,tCr, tCho,Glx,tLM09,tLM13,tLM20,,CrCH2_stdev,Ala_stdev,Asp_stdev,Cr_stdev,GABA_stdev,Glc_stdev,Gln_stdev,GSH_stdev,Glu_stdev,GPC_stdev,Ins_stdev,Lac_stdev,"Lip09_stdev,","Lip13a_stdev,","Lip13b_stdev,",Lip20_stdev,MM09_stdev,MM12_stdev,MM14_stdev,MM17_stdev,"MM20_stdev,",NAA_stdev,NAAG_stdev,"PCh_stdev,",PCr_stdev,"sIns_stdev,",Tau_stdev,"tNAA_stdev,",tCr_stdev, tCho_stdev,Glx_stdev,tLM09_stdev,"tLM13_stdev,",tLM20_stdev,,CrCH2_tCR,Ala_tCR,Asp_tCR,Cr_tCR,GABA_tCR,Glc_tCR,Gln_tCR,GSH_tCR,Glu_tCR,GPC_tCR,Ins_tCR,Lac_tCR,Lip09_tCR,Lip13a_tCR,Lip13b_tCR,Lip20_tCR,MM09_tCR,MM12_tCR,MM14_tCR,MM17_tCR,MM20_tCR,NAA_tCR,NAAG_tCR,PCh_tCR,PCr_tCR,sIns_tCR,Tau_tCR,tNAA_tCR,tCr_tCR,tCho_tCR,Glx_tCR,tLM09_tCR,tLM13_tCR,tLM20_tCR
FID__033,KO,pnd30,M,16.5,N/A,N/A,N/A,N/A,Y,Y,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
FID_001_16,HET,pnd70,M,23,180,-2,16,18,N,N,inc,,5.853299,0,5.669977,4.08459,9.884489,0,1.156899,0,21.92239,1.646552,24.10319,2.804961,6.79578,32.40567,0,0,16.40177,7.91612,55.99512,17.91707,169.244,5.81338,2.12789,0,3.743475,0.7574199,15.55787,7.94127,7.828065,1.646552,23.07928,23.19755,96.31691,169.244,,2.288765,1.463405,3.21096,7.292695,5.991497,2.12575,5.8344,0.8771924,6.425624,1.427503,4.826092,6.435957,472.784,153.2999,25.46625,6.758779,483.6161,64.64604,127.7951,16.93515,21.06306,1.836176,1.492348,1.402902,6.41536,0.5590423,4.558082,0.8540952,0.7197064,0.1864784,3.522506,7.641583,11.7278,5.886288,,0.7477325495,0,0.7243139907,0.5217879514,1.262698892,0,0.1477886298,0,2.800486455,0.2103395922,3.07907382,0.3583211177,0.8681302467,4.139678196,0,0,2.095252147,1.011248629,7.153124048,2.288824888,21.62015773,0.7426330773,0.2718283509,0,0.4782120486,0.09675697634,1.987447728,1.014461428,1,0.2103395922,2.948273935,2.963382394,12.30405087,21.62015773
FID_001_18,HET,pnd70,M,23,0,0,16,18,N,N,inc,,2.976628,0,1.932797,5.892726,15.01182,0,0,2.894188,34.69715,2.858677,10.94283,1.52089,0,4.520504,0,14.27185,14.34667,3.348593,30.3893,15.65819,89.19351,4.61826,2.326473,2.225964,4.634168,0,33.08707,6.944733,10.52689,5.084641,34.69715,14.34667,38.2584,103.4654,,1.595433,1.297462,2.64393,1.315456,2.614702,1.748577,2.197843,1.117934,3.475651,0.9054952,2.891069,3.395548,464.592,72.59605,19.6387,19.59012,479.2189,100.5741,57.96457,18.68619,26.81828,1.215337,1.144502,0.8203609,1.422105,0.1738206,3.685668,0.7367881,0.6774842,0.1713325,1.722893,2.968991,10.59884,8.895198,,0.2827642352,0,0.1836056993,0.5597784341,1.426045109,0,0,0.2749328624,3.296049451,0.2715595014,1.039512145,0.1444766688,0,0.4294244549,0,1.355751794,1.362859306,0.3180989827,2.886826024,1.48744691,8.472921252,0.4387107683,0.2210028793,0.2114550451,0.4402219459,0,3.143100194,0.6597136476,1,0.4830145466,3.296049451,1.362859306,3.634349746,9.828676846
FID_002_14,WT,pnd70,F,19.3,0,0,14,29,N,N,inc,,0,0,8.376753,8.235157,29.07507,9.15367,0,2.238379,51.62169,3.767164,17.60106,0,0.2035314,27.67028,0,0,41.11618,19.28948,57.23361,32.13241,173.6032,8.34085,4.22255,3.428215,6.161957,0,39.56892,12.5634,14.39711,7.195379,51.62169,41.31971,104.1934,173.6032,,1.468006,1.940397,4.278419,2.488883,4.945923,4.802438,3.886079,1.757541,5.663107,1.563315,4.50303,2.036989,166.852,82.14252,20.9394,9.498291,180.7395,112.8907,90.8689,21.87369,27.18663,2.024786,1.723168,1.74995,1.795443,0.2817173,6.026099,1.487033,0.7472561,0.3211585,3.427557,3.893624,11.48749,8.10139,,0,0,0.5818357295,0.5720007001,2.019507387,0.6357991291,0,0.1554741889,3.585559185,0.261661125,1.222541191,0,0.01413696221,1.921932943,0,0,2.855863434,1.339816116,3.975354081,2.231865284,12.05819779,0.5793419652,0.2932915009,0.2381182751,0.4279995777,0,2.748393254,0.872633466,1,0.4997794002,3.585559185,2.870000299,7.237105225,12.05819779
FID_002_29,WT,pnd70,F,19.3,0,0,14,29,N,N,inc,,1.2814,0,2.53454,7.882691,22.98272,5.179555,8.265759,3.015838,47.65674,3.942534,14.66223,1.762808,0,13.95125,0,14.41711,20.00461,6.351019,38.67387,19.03467,103.6555,7.431729,4.675182,2.842669,5.679116,0,46.29938,12.10691,13.56181,6.785203,55.9225,20.00461,58.97614,118.0726,,2.126499,1.620895,3.632292,2.252079,4.773916,4.122883,6.102651,1.979409,5.985721,1.682937,4.05435,6.411448,52.26464,49.92686,18.73625,25.75493,48.24781,44.01201,68.71444,18.71289,35.4162,1.761901,2.149721,1.57349,2.38796,0.2213433,5.588475,1.139407,1.045306,0.2829758,4.226949,3.199613,3.073768,12.04865,,0.09448591302,0,0.1868880334,0.5812418106,1.69466465,0.3819221033,0.6094878928,0.2223772491,3.514039793,0.2907085411,1.081141087,0.1299832397,0,1.028715931,0,1.063066803,1.475069331,0.4683017237,2.851674666,1.403549379,7.643190695,0.5479894645,0.3447314186,0.2096083782,0.4187579681,0,3.413952857,0.8927208094,1,0.5003169193,4.123527759,1.475069331,4.348692394,8.706256761
FID_003_15 (E),WT,pnd70,F,18.2,0,0,15,28,N,N,ppr,,5.122202,0,8.962191,7.315194,13.97147,0,7.829098,0,27.86324,2.487946,25.35474,0,14.33987,38.06824,0,0,26.09803,22.55715,71.07052,21.5632,217.3999,7.376047,2.523984,0.4124941,3.398367,0,20.12077,9.900031,10.71356,2.90044,35.69234,40.4379,131.6959,217.3999,,2.054025,1.461439,3.449781,2.041402,4.749134,2.116836,5.853871,0.8513385,4.815561,1.173669,4.879979,1.702057,441.7087,230.4415,17.49912,7.544508,448.5723,131.6305,131.6828,16.88226,22.87975,1.847555,1.351385,1.142009,1.758157,0.2196308,4.914203,0.9137537,0.7672513,0.206512,3.553861,7.998311,9.026228,6.43083,,0.4781045703,0,0.8365278208,0.6827976882,1.304092197,0,0.7307653105,0,2.600745224,0.2322240226,2.366602698,0,1.338478526,3.553276409,0,0,2.43598113,2.105476611,6.633697856,2.01270166,20.29203178,0.6884776862,0.2355877971,0.03850205721,0.3172024052,0,1.878065741,0.9240654834,1,0.2707260705,3.331510721,3.774459657,12.29244994,20.29203178
FID_003_28,WT,pnd70,F,18.2,0,0,15,28,N,N,inc,,1.152662,0,4.551368,9.535809,31.33447,7.983233,6.719255,4.247835,61.3724,5.141043,20.67579,0,0,16.52305,0,28.68983,28.18337,6.073471,60.51587,32.06877,145.4621,10.8047,7.136707,3.649667,8.119291,0,57.85393,17.9414,17.6551,8.790711,68.09166,28.18337,83.11239,174.1519,,2.908068,2.062495,4.889529,2.749893,5.548555,5.014371,7.517237,2.545834,7.302558,2.153964,5.401907,2.124936,34.72835,58.81254,17.94297,34.6297,29.00719,47.45932,94.44167,21.70399,48.29946,2.326979,2.837403,1.974572,3.037743,0.299904,7.258876,1.583483,1.335786,0.3635697,5.276157,4.307824,5.554179,15.86203,,0.06528776388,0,0.2577933855,0.540116397,1.774811244,0.4521771613,0.3805843637,0.2406010161,3.476185352,0.291193083,1.171094471,0,0,0.9358797175,0,1.625016567,1.596330239,0.3440066043,3.427670758,1.816402626,8.239098051,0.611987471,0.4042292029,0.2067202678,0.459883603,0,3.276896194,1.016216277,1,0.4979134075,3.856769998,1.596330239,4.707557023,9.864112919
FID_004_17,KO,pnd70,M,22.8,0,0,17,27,N,N,inc,,2.023837,0,12.5679,9.451302,34.8455,12.63972,0,3.125682,61.07176,4.238202,22.44633,5.390023,43.55168,0,0,37.23349,9.442046,17.54173,58.49542,42.74284,188.9909,16.48824,11.21585,3.263295,10.20587,0,38.58829,27.70409,19.65717,7.501497,61.07176,52.99373,76.03716,226.2244,,3.605349,2.294524,5.997968,5.955427,7.622471,5.974274,4.978786,2.600772,7.457744,2.341774,5.778289,8.772622,37.91722,127.398,25.53257,42.0627,24.77558,75.22381,55.98873,26.09033,57.167,3.482205,3.903943,2.191149,7.428199,0.319337,7.397178,2.302559,1.45853,0.3764282,4.094915,11.95767,4.509187,16.23633,,0.102956682,0,0.6393544951,0.4808068506,1.77266107,0.6430081238,0,0.1590097659,3.106843966,0.2156059087,1.141890211,0.2742013728,2.215562057,0,0,1.894142951,0.4803359792,0.8923832881,2.975780339,2.17441473,9.61434937,0.8387901209,0.5705729767,0.1660104176,0.5191932511,0,1.963064368,1.409363098,1,0.3816163263,3.106843966,2.69589824,3.868164136,11.50849283
FID_004_27,KO,pnd70,M,22.8,0,0,17,27,N,N,inc,,0,0,4.135779,3.827032,21.61093,4.948111,0,2.647989,42.77031,3.271999,9.553246,1.318354,15.5409,10.4667,0,26.66037,1.015686,4.613358,26.2406,16.97754,99.73278,5.082506,2.51016,2.315494,3.829771,0,38.0873,7.592666,7.656803,5.587493,42.77031,16.55659,41.32066,126.3931,,1.296711,1.60577,3.880238,2.167287,6.263914,4.278184,3.634505,1.804904,6.629121,1.713316,4.465887,8.265043,191.5144,62.49711,22.79594,29.63255,179.3395,70.27377,75.01048,20.21838,40.00555,2.522817,2.175769,1.794039,1.862137,0.2274615,6.552456,1.547375,1.019159,0.3269437,3.169505,4.798383,7.735143,11.38466,,0,0,0.5401443657,0.4998211394,2.82244822,0.6462372089,0,0.3458348086,5.585922741,0.4273322691,1.247680788,0.1721807391,2.029685235,1.366980449,0,3.481919281,0.1326514473,0.6025175259,3.427096139,2.217314459,13.02538148,0.6637895738,0.3278339537,0.3024100267,0.5001788606,0,4.974308468,0.9916235275,1,0.7297422958,5.585922741,2.162337205,5.396594375,16.50729423
FID_005_26,KO,pnd70,F,18.3,0,0,36,26,N,N,inc,,1.466424,0,5.431546,6.186519,15.50236,0,30.85913,4.03361,37.67836,5.297734,28.72928,3.036479,0,3.698581,0,9.070304,14.56917,0,50.51576,14.64191,57.17697,9.006756,2.154117,2.048088,11.99324,0,52.74031,11.16087,18.17976,7.345822,68.53749,14.56917,54.21434,66.24727,,2.100941,1.501223,3.402605,12.34176,3.886184,1.976549,6.228141,1.741643,5.094869,1.753631,4.380746,6.558629,62.57966,46.18814,10.26763,24.0817,60.29782,10.60582,54.78358,14.769,30.21749,1.832056,1.557293,1.86027,13.02458,0.2023325,5.425097,0.9494469,0.7850964,0.2527649,3.97299,2.599017,3.782092,8.30325,,0.08066245099,0,0.2987688506,0.3402970666,0.8527263286,0,1.697444301,0.2218736661,2.072544412,0.2914083574,1.580289289,0.1670252523,0,0.203444985,0,0.4989231981,0.8013950679,0,2.778681347,0.8053962209,3.145089374,0.4954276624,0.1184898481,0.1126575928,0.6597028784,0,2.901045448,0.6139173454,1,0.4040659503,3.769988713,0.8013950679,2.982126277,3.644012352
