name,genotype,age,sex,weight,rotation,shift,PFC file,mrspfc_exclude,,CrCH2,Ala,Asp,Cr,GABA,Glc,Gln,GSH,Glu,GPC,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,sIns,Tau,tNAA,tCr, tCho,Glx,tLM09,tLM13,tLM20,,CrCH2_stdev,Ala_stdev,Asp_stdev,Cr_stdev,GABA_stdev,Glc_stdev,Gln_stdev,GSH_stdev,Glu_stdev,GPC_stdev,Ins_stdev,Lac_stdev,Lip09_stdev,Lip13a_stdev,Lip13b_stdev,Lip20_stdev,MM09_stdev,MM12_stdev,MM14_stdev,MM17_stdev,MM20_stdev,NAA_stdev,NAAG_stdev,PCh_stdev,PCr_stdev,sIns_stdev,Tau_stdev,tNAA_stdev,tCr_stdev, tCho_stdev,Glx_stdev,tLM09_stdev,tLM13_stdev,tLM20_stdev,,CrCH2_tCR,Ala_tCR,Asp_tCR,Cr_tCR,GABA_tCR,Glc_tCR,Gln_tCR,GSH_tCR,Glu_tCR,GPC_tCR,Ins_tCR,Lac_tCR,Lip09_tCR,Lip13a_tCR,Lip13b_tCR,Lip20_tCR,MM09_tCR,MM12_tCR,MM14_tCR,MM17_tCR,MM20_tCR,NAA_tCR,NAAG_tCR,PCh_tCR,PCr_tCR,sIns_tCR,Tau_tCR,tNAA_tCR,tCr_tCR,tCho_tCR,Glx_tCR,tLM09_tCR,tLM13_tCR,tLM20_tCR
FID_001_18,HET,pnd70,M,23,0,0,18,N,,2.976628,0,1.932797,5.892726,15.01182,0,0,2.894188,34.69715,2.858677,10.94283,1.52089,0,4.520504,0,14.27185,14.34667,3.348593,30.3893,15.65819,89.19351,4.61826,2.326473,2.225964,4.634168,0,33.08707,6.944733,10.52689,5.084641,34.69715,14.34667,38.2584,103.4654,,1.595433,1.297462,2.64393,1.315456,2.614702,1.748577,2.197843,1.117934,3.475651,0.9054952,2.891069,3.395548,464.592,72.59605,19.6387,19.59012,479.2189,100.5741,57.96457,18.68619,26.81828,1.215337,1.144502,0.8203609,1.422105,0.1738206,3.685668,0.7367881,0.6774842,0.1713325,1.722893,2.968991,10.59884,8.895198,,0.2827642352,0,0.1836056993,0.5597784341,1.426045109,0,0,0.2749328624,3.296049451,0.2715595014,1.039512145,0.1444766688,0,0.4294244549,0,1.355751794,1.362859306,0.3180989827,2.886826024,1.48744691,8.472921252,0.4387107683,0.2210028793,0.2114550451,0.4402219459,0,3.143100194,0.6597136476,1,0.4830145466,3.296049451,1.362859306,3.634349746,9.828676846
FID_002_29,WT,pnd70,F,19.3,0,0,29,N,,1.2814,0,2.53454,7.882691,22.98272,5.179555,8.265759,3.015838,47.65674,3.942534,14.66223,1.762808,0,13.95125,0,14.41711,20.00461,6.351019,38.67387,19.03467,103.6555,7.431729,4.675182,2.842669,5.679116,0,46.29938,12.10691,13.56181,6.785203,55.9225,20.00461,58.97614,118.0726,,2.126499,1.620895,3.632292,2.252079,4.773916,4.122883,6.102651,1.979409,5.985721,1.682937,4.05435,6.411448,52.26464,49.92686,18.73625,25.75493,48.24781,44.01201,68.71444,18.71289,35.4162,1.761901,2.149721,1.57349,2.38796,0.2213433,5.588475,1.139407,1.045306,0.2829758,4.226949,3.199613,3.073768,12.04865,,0.09448591302,0,0.1868880334,0.5812418106,1.69466465,0.3819221033,0.6094878928,0.2223772491,3.514039793,0.2907085411,1.081141087,0.1299832397,0,1.028715931,0,1.063066803,1.475069331,0.4683017237,2.851674666,1.403549379,7.643190695,0.5479894645,0.3447314186,0.2096083782,0.4187579681,0,3.413952857,0.8927208094,1,0.5003169193,4.123527759,1.475069331,4.348692394,8.706256761
FID_003_28,WT,pnd70,F,18.2,0,0,28,N,,1.152662,0,4.551368,9.535809,31.33447,7.983233,6.719255,4.247835,61.3724,5.141043,20.67579,0,0,16.52305,0,28.68983,28.18337,6.073471,60.51587,32.06877,145.4621,10.8047,7.136707,3.649667,8.119291,0,57.85393,17.9414,17.6551,8.790711,68.09166,28.18337,83.11239,174.1519,,2.908068,2.062495,4.889529,2.749893,5.548555,5.014371,7.517237,2.545834,7.302558,2.153964,5.401907,2.124936,34.72835,58.81254,17.94297,34.6297,29.00719,47.45932,94.44167,21.70399,48.29946,2.326979,2.837403,1.974572,3.037743,0.299904,7.258876,1.583483,1.335786,0.3635697,5.276157,4.307824,5.554179,15.86203,,0.06528776388,0,0.2577933855,0.540116397,1.774811244,0.4521771613,0.3805843637,0.2406010161,3.476185352,0.291193083,1.171094471,0,0,0.9358797175,0,1.625016567,1.596330239,0.3440066043,3.427670758,1.816402626,8.239098051,0.611987471,0.4042292029,0.2067202678,0.459883603,0,3.276896194,1.016216277,1,0.4979134075,3.856769998,1.596330239,4.707557023,9.864112919
FID_004_27,KO,pnd70,M,22.8,0,0,27,N,,0,0,4.135779,3.827032,21.61093,4.948111,0,2.647989,42.77031,3.271999,9.553246,1.318354,15.5409,10.4667,0,26.66037,1.015686,4.613358,26.2406,16.97754,99.73278,5.082506,2.51016,2.315494,3.829771,0,38.0873,7.592666,7.656803,5.587493,42.77031,16.55659,41.32066,126.3931,,1.296711,1.60577,3.880238,2.167287,6.263914,4.278184,3.634505,1.804904,6.629121,1.713316,4.465887,8.265043,191.5144,62.49711,22.79594,29.63255,179.3395,70.27377,75.01048,20.21838,40.00555,2.522817,2.175769,1.794039,1.862137,0.2274615,6.552456,1.547375,1.019159,0.3269437,3.169505,4.798383,7.735143,11.38466,,0,0,0.5401443657,0.4998211394,2.82244822,0.6462372089,0,0.3458348086,5.585922741,0.4273322691,1.247680788,0.1721807391,2.029685235,1.366980449,0,3.481919281,0.1326514473,0.6025175259,3.427096139,2.217314459,13.02538148,0.6637895738,0.3278339537,0.3024100267,0.5001788606,0,4.974308468,0.9916235275,1,0.7297422958,5.585922741,2.162337205,5.396594375,16.50729423
FID_005_26,KO,pnd70,F,18.3,0,0,26,N,,1.466424,0,5.431546,6.186519,15.50236,0,30.85913,4.03361,37.67836,5.297734,28.72928,3.036479,0,3.698581,0,9.070304,14.56917,0,50.51576,14.64191,57.17697,9.006756,2.154117,2.048088,11.99324,0,52.74031,11.16087,18.17976,7.345822,68.53749,14.56917,54.21434,66.24727,,2.100941,1.501223,3.402605,12.34176,3.886184,1.976549,6.228141,1.741643,5.094869,1.753631,4.380746,6.558629,62.57966,46.18814,10.26763,24.0817,60.29782,10.60582,54.78358,14.769,30.21749,1.832056,1.557293,1.86027,13.02458,0.2023325,5.425097,0.9494469,0.7850964,0.2527649,3.97299,2.599017,3.782092,8.30325,,0.08066245099,0,0.2987688506,0.3402970666,0.8527263286,0,1.697444301,0.2218736661,2.072544412,0.2914083574,1.580289289,0.1670252523,0,0.203444985,0,0.4989231981,0.8013950679,0,2.778681347,0.8053962209,3.145089374,0.4954276624,0.1184898481,0.1126575928,0.6597028784,0,2.901045448,0.6139173454,1,0.4040659503,3.769988713,0.8013950679,2.982126277,3.644012352
FID_006_23,KO,pnd70,F,17.4,0,-1.65,23,N,,1.748123,0,3.88598,7.319723,13.49616,6.388243,19.35152,4.110553,39.26105,5.642452,24.01908,1.045095,2.326092,0,0,19.35056,5.422847,7.393003,20.25771,12.21887,58.3891,5.960739,2.722092,1.433235,9.163431,0,47.9667,8.682831,16.48315,7.075686,58.61257,7.748939,27.65072,77.73967,,1.810891,1.211955,2.936435,7.391985,3.841168,3.238328,5.008668,1.485678,4.695165,1.460813,3.617796,5.030462,14.7597,63.16218,13.47837,19.80881,10.51087,35.66166,26.84663,14.15745,26.2211,1.86202,1.967029,1.292445,7.452695,0.1738874,4.565794,0.764064,0.8504519,0.2254795,3.28983,2.086824,1.960531,9.823394,,0.1060551533,0,0.2357546949,0.4440730686,0.8187852443,0.3875620255,1.174018316,0.2493790932,2.381889991,0.3423163655,1.457189918,0.06340383968,0.1411193856,0,0,1.173960074,0.328993366,0.4485188207,1.228995065,0.7412945948,3.542350825,0.3616262062,0.1651439197,0.08695152322,0.5559271741,0,2.9100445,0.5267701259,1,0.4292678281,3.555908306,0.4701127515,1.67751431,4.716311506
FID_007_25,WT,pnd70,M,26,0,-2,25,N,,0.6588752,0,4.164241,7.234028,24.92832,6.925685,0,2.592823,54.87185,3.90218,13.99145,0,13.46951,6.755933,0,42.71398,14.38112,3.738357,69.47416,21.91597,149.2342,8.049381,4.271339,2.767822,5.527106,0,47.44663,12.32072,12.76113,6.670002,54.87185,27.85063,79.96845,191.9481,,2.572391,1.859816,4.388466,2.505953,5.401019,4.440449,3.95744,2.105295,6.540963,1.895097,4.532762,1.712335,337.7619,49.16612,16.01036,32.09931,330.8169,55.48943,66.09682,20.99744,44.84693,2.433574,2.430811,1.754368,2.756342,0.2643465,6.580854,1.531838,1.200446,0.3153034,3.358398,8.310554,4.095568,13.81465,,0.05163141509,0,0.3263222771,0.5668798923,1.9534571,0.5427172202,0,0.2031813013,4.299920932,0.3057863998,1.096411525,0,1.055510758,0.5294149499,0,3.347194175,1.126947222,0.2929487436,5.444201258,1.717400418,11.69443458,0.630773372,0.3347147941,0.2168947421,0.4331204212,0,3.718058667,0.965488166,1,0.5226811419,4.299920932,2.18245798,6.266564952,15.04162249
FID_014_30,KO,pnd70,M,20,180,-2,30,N,,4.558113,0,8.981446,7.402616,29.8365,8.047804,15.4305,10.85792,60.06716,7.762577,31.69539,0.3041465,1.85692,0,0,15.55027,18.40932,10.50789,45.44582,20.55966,113.935,11.39557,7.098192,1.100071,14.2621,0,82.00749,18.49376,21.66471,8.862647,75.49766,20.26624,55.95371,129.4852,,3.567313,2.315596,4.976235,10.10369,4.716492,5.302237,7.148632,2.753362,6.183752,2.114571,5.530823,7.616774,71.61082,120.7277,24.65335,34.67912,86.37141,70.15097,54.16053,20.30122,41.31412,3.234261,3.466594,1.972558,11.38919,0.3106829,7.2647,1.226715,1.163095,0.3342206,4.788535,3.453885,3.271033,15.86164,,0.2103934463,0,0.4145657154,0.3416900572,1.377193602,0.3714706543,0.7122412439,0.5011800296,2.772580847,0.3583051423,1.462996274,0.01403879858,0.08571174043,0,0,0.7177695893,0.8497376609,0.4850233398,2.097688822,0.948993086,5.259013391,0.5259968862,0.3276384498,0.05077709325,0.6583102197,0,3.785302919,0.8536352437,1,0.4090821894,3.484822091,0.9354494014,2.582712162,5.976779749
FID_017_27,HET,pnd70,F,21.1,180,-2,27,N,,0.8086548,0,2.962656,3.672562,18.33419,5.75418,0.5031329,0.9475849,35.44809,2.518126,11.27063,0,18.93516,7.154472,0,11.10897,0,8.351066,31.44521,23.33739,86.88528,6.191623,4.205423,1.638557,3.227976,0,27.30301,10.39705,6.900537,4.156683,35.95123,18.93516,46.95075,97.99425,,2.027739,1.207668,3.145822,1.952188,5.004836,3.271716,5.678377,1.37818,5.743444,1.26775,3.663545,1.105094,24.72758,39.81262,9.937206,21.61104,27.77794,50.12091,42.90666,12.9959,29.50853,2.066816,1.760753,1.384309,1.985028,0.1783488,4.924114,1.205686,0.7500759,0.2274063,3.757092,2.644058,8.109317,9.277063,,0.1171872276,0,0.4293370212,0.5322139422,2.656922208,0.8338742333,0.07291213713,0.1373204578,5.137004555,0.364917397,1.633297525,0,2.744012531,1.03679931,0,1.609870362,0,1.210205235,4.556922164,4.556922164,3.38196723,12.59108965,0.8972668359,0.6094341643,0.2374535489,0.4677862027,3.95665004,1.50670158,1,0.6023709459,5.209917721,2.744012531,6.803926999,14.20096001
FID_019_23,WT,pnd70,F,17.4,180,-2.05,23,N,,2.321088,0,3.529942,6.392312,22.88496,3.852481,0,2.805024,40.33404,3.985083,18.90466,0,0.8478005,11.67489,0,23.23011,19.50357,4.264352,61.76165,23.64469,116.5774,7.559704,4.784221,1.785721,5.899024,0,44.08376,12.34392,12.29134,5.770804,40.33404,20.35137,77.7009,139.8075,,3.052836,1.73495,4.501026,3.106096,7.088685,4.558204,4.137696,2.067357,6.666547,1.91633,5.47076,1.592844,48.44103,45.51604,14.33462,30.23964,46.84606,32.90921,73.86955,18.84518,41.46905,2.752318,2.625591,2.030974,3.247885,0.2596703,7.259755,1.493956,1.214711,0.3307613,3.452424,3.649801,11.63063,14.01146,,0.1888392966,0,0.2871893545,0.5200663231,1.861876736,0.3134305129,0,0.2282114074,3.281500634,0.3242187589,1.538047113,0,0.06897543311,0.9498468027,0,1.889957482,1.586773289,0.3469395526,5.024810151,1.923686921,9.484515114,0.6150431117,0.3892351037,0.1452828577,0.4799333514,0,3.586570708,1.004277809,1,0.4695016166,3.281500634,1.655748682,6.321597157,11.37447178
