name,genotype,age,sex,weight,rotation,shift,thal file,mrsthal_exclude,,CrCH2,Ala,Asp,Cr,GABA,Glc,Gln,GSH,Glu,GPC,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,sIns,Tau,tNAA,tCr, tCho,Glx,tLM09,tLM13,tLM20,,CrCH2_stdev,Ala_stdev,Asp_stdev,Cr_stdev,GABA_stdev,Glc_stdev,Gln_stdev,GSH_stdev,Glu_stdev,GPC_stdev,Ins_stdev,Lac_stdev,Lip09_stdev,Lip13a_stdev,Lip13b_stdev,Lip20_stdev,MM09_stdev,MM12_stdev,MM14_stdev,MM17_stdev,MM20_stdev,NAA_stdev,NAAG_stdev,PCh_stdev,PCr_stdev,sIns_stdev,Tau_stdev,tNAA_stdev,tCr_stdev, tCho_stdev,Glx_stdev,tLM09_stdev,tLM13_stdev,tLM20_stdev,,CrCH2_tCR,Ala_tCR,Asp_tCR,Cr_tCR,GABA_tCR,Glc_tCR,Gln_tCR,GSH_tCR,Glu_tCR,GPC_tCR,Ins_tCR,Lac_tCR,Lip09_tCR,Lip13a_tCR,Lip13b_tCR,Lip20_tCR,MM09_tCR,MM12_tCR,MM14_tCR,MM17_tCR,MM20_tCR,NAA_tCR,NAAG_tCR,PCh_tCR,PCr_tCR,sIns_tCR,Tau_tCR,tNAA_tCR,tCr_tCR,tCho_tCR,Glx_tCR,tLM09_tCR,tLM13_tCR,tLM20_tCR
FID_001_16,HET,pnd70,M,23,180,-2,16,N,,5.853299,0,5.669977,4.08459,9.884489,0,1.156899,0,21.92239,1.646552,24.10319,2.804961,6.79578,32.40567,0,0,16.40177,7.91612,55.99512,17.91707,169.244,5.81338,2.12789,0,3.743475,0.7574199,15.55787,7.94127,7.828065,1.646552,23.07928,23.19755,96.31691,169.244,,2.288765,1.463405,3.21096,7.292695,5.991497,2.12575,5.8344,0.8771924,6.425624,1.427503,4.826092,6.435957,472.784,153.2999,25.46625,6.758779,483.6161,64.64604,127.7951,16.93515,21.06306,1.836176,1.492348,1.402902,6.41536,0.5590423,4.558082,0.8540952,0.7197064,0.1864784,3.522506,7.641583,11.7278,5.886288,,0.7477325495,0,0.7243139907,0.5217879514,1.262698892,0,0.1477886298,0,2.800486455,0.2103395922,3.07907382,0.3583211177,0.8681302467,4.139678196,0,0,2.095252147,1.011248629,7.153124048,2.288824888,21.62015773,0.7426330773,0.2718283509,0,0.4782120486,0.09675697634,1.987447728,1.014461428,1,0.2103395922,2.948273935,2.963382394,12.30405087,21.62015773
FID_002_14,WT,pnd70,F,19.3,0,0,14,N,,0,0,8.376753,8.235157,29.07507,9.15367,0,2.238379,51.62169,3.767164,17.60106,0,0.2035314,27.67028,0,0,41.11618,19.28948,57.23361,32.13241,173.6032,8.34085,4.22255,3.428215,6.161957,0,39.56892,12.5634,14.39711,7.195379,51.62169,41.31971,104.1934,173.6032,,1.468006,1.940397,4.278419,2.488883,4.945923,4.802438,3.886079,1.757541,5.663107,1.563315,4.50303,2.036989,166.852,82.14252,20.9394,9.498291,180.7395,112.8907,90.8689,21.87369,27.18663,2.024786,1.723168,1.74995,1.795443,0.2817173,6.026099,1.487033,0.7472561,0.3211585,3.427557,3.893624,11.48749,8.10139,,0,0,0.5818357295,0.5720007001,2.019507387,0.6357991291,0,0.1554741889,3.585559185,0.261661125,1.222541191,0,0.01413696221,1.921932943,0,0,2.855863434,1.339816116,3.975354081,2.231865284,12.05819779,0.5793419652,0.2932915009,0.2381182751,0.4279995777,0,2.748393254,0.872633466,1,0.4997794002,3.585559185,2.870000299,7.237105225,12.05819779
FID_004_17,KO,pnd70,M,22.8,0,0,17,N,,2.023837,0,12.5679,9.451302,34.8455,12.63972,0,3.125682,61.07176,4.238202,22.44633,5.390023,43.55168,0,0,37.23349,9.442046,17.54173,58.49542,42.74284,188.9909,16.48824,11.21585,3.263295,10.20587,0,38.58829,27.70409,19.65717,7.501497,61.07176,52.99373,76.03716,226.2244,,3.605349,2.294524,5.997968,5.955427,7.622471,5.974274,4.978786,2.600772,7.457744,2.341774,5.778289,8.772622,37.91722,127.398,25.53257,42.0627,24.77558,75.22381,55.98873,26.09033,57.167,3.482205,3.903943,2.191149,7.428199,0.319337,7.397178,2.302559,1.45853,0.3764282,4.094915,11.95767,4.509187,16.23633,,0.102956682,0,0.6393544951,0.4808068506,1.77266107,0.6430081238,0,0.1590097659,3.106843966,0.2156059087,1.141890211,0.2742013728,2.215562057,0,0,1.894142951,0.4803359792,0.8923832881,2.975780339,2.17441473,9.61434937,0.8387901209,0.5705729767,0.1660104176,0.5191932511,0,1.963064368,1.409363098,1,0.3816163263,3.106843966,2.69589824,3.868164136,11.50849283
FID_005_36,KO,pnd70,F,18.3,0,0,36,N,,19.81733,0,15.40346,22.93866,47.84457,1.267064,33.08412,0,52.0092,3.798585,31.02727,0,6.441119,0,0,0,65.12588,26.15798,85.39091,51.70145,180.9939,39.04525,8.168443,5.001497,10.08121,0,43.29819,47.21369,33.01987,8.800081,85.09333,71.567,111.5489,180.9939,,4.242522,2.293476,5.408236,14.36314,5.978516,6.038442,9.193103,1.501567,5.865352,2.828751,5.925062,2.174263,47.47791,82.92359,15.84043,12.16463,50.66481,51.98444,45.02047,19.11189,19.10253,4.765029,2.683573,2.899721,15.19082,0.3273775,7.318456,1.502438,0.942947,0.3562225,4.8624,2.770894,2.704082,5.663825,,0.6001637802,0,0.4664906312,0.6946926199,1.448963003,0.03837277373,1.001945798,0,1.57508797,0.1150393687,0.9396545171,0,0.1950679697,0,0,0,1.972323937,0.7921890668,2.58604622,1.565767824,5.481363191,1.182477399,0.2473796232,0.1514693123,0.3053073801,0,1.311276816,1.429856932,1,0.2665086507,2.577034071,2.167391937,3.37823559,5.481363191
FID_006_14,KO,pnd70,F,17.4,0,-1.65,14,N,,0,0,2.665899,7.518694,32.90655,4.253016,14.44902,3.435223,50.14659,4.041181,14.46692,3.041242,33.00918,8.806895,0,45.67891,0,0,29.24321,26.34177,112.6339,6.921537,3.066786,3.750613,7.574786,0,42.85885,9.988323,15.09348,7.791794,64.59561,33.00918,38.0501,158.3128,,1.562947,2.03894,4.056219,2.26849,4.137612,4.196061,5.301381,1.844304,5.417575,1.299268,4.578684,4.897448,78.82334,95.39735,12.78081,30.36039,69.07223,38.76428,84.04508,24.32807,43.56501,2.01241,1.98257,1.18471,2.348906,0.2832599,5.496838,1.260573,0.9904379,0.2843647,3.776529,3.274025,6.571081,14.60257,,0,0,0.1766258676,0.4981418467,2.180183099,0.2817783573,0.9573020934,0.2275964854,3.322400798,0.2677434892,0.9584880359,0.2014937576,2.186982724,0.5834900235,0,3.026400141,0,0,1.937473002,1.745241654,7.46242086,0.4585779423,0.203186144,0.2484922629,0.5018581533,0,2.839560525,0.6617640862,1,0.5162357521,4.279702892,2.186982724,2.520962694,10.48882034
FID_007_18,WT,pnd70,M,26,0,-2,18,N,,5.759763,0,9.043836,15.188,31.88451,3.013325,39.5845,4.111225,83.87518,7.422095,40.02397,7.555199,7.530511,0,0,15.57459,47.20211,12.50244,65.87923,37.20117,167.5007,19.19559,7.808075,3.117782,21.62845,0,59.62228,27.00366,36.81645,10.53988,123.4597,54.73262,78.38167,183.0753,,3.337789,2.023958,4.995239,16.84222,6.178203,5.121841,8.981469,2.642,8.112396,2.177829,5.903634,9.519563,34.12541,119.2058,23.49497,33.49041,38.06024,71.16047,47.98771,20.0147,40.56635,3.658456,3.775493,2.042961,16.88957,0.2874589,7.219572,1.472859,1.49874,0.3550942,5.705195,2.358306,3.188788,7.528846,,0.1564453661,0,0.2456466063,0.4125329846,0.866039773,0.08184724491,1.075185141,0.1116681538,2.278198468,0.201597248,1.087121925,0.2052125884,0.2045420186,0,0,0.4230334538,1.282092923,0.3395884177,1.789396588,1.010449677,4.549615729,0.5213862282,0.2120811485,0.08468448207,0.5874670154,0,1.619446742,0.7334672409,1,0.2862818115,3.353384153,1.486634915,2.128985005,4.972649454
FID_009_40,HET,pnd70,M,22.6,0,0,40,N,,4.307904,0,9.488839,12.55708,36.31651,0,0,5.087862,61.69725,3.258944,29.19622,9.419277,1.298287,22.30138,0,32.26345,46.94143,16.24477,66.01917,37.21203,176.8024,14.65525,10.40247,3.691387,7.491645,0,34.57495,25.05772,20.04872,6.950332,61.69725,48.23971,104.5653,209.0659,,3.178969,2.501533,5.532267,2.828173,6.279754,3.26015,4.799743,2.378496,6.576422,1.88161,6.207928,7.67892,237.4843,111.4671,36.11011,41.08602,257.6048,144.4046,105.8016,29.17724,57.58762,3.095291,3.353433,1.778824,3.002811,0.3181572,6.559414,2.012295,1.453438,0.3386333,3.843015,4.047142,5.796687,17.05507,,0.2148717724,0,0.473289018,0.6263282643,1.811412898,0,0,0.2537749043,3.077366036,0.1625512252,1.456263542,0.46981937,0.06475660292,1.112359293,0,1.609252361,2.341367928,0.8102646952,3.292936906,1.856080089,8.818637798,0.7309818283,0.5188595581,0.1841208317,0.373671985,0,1.724546505,1.249841386,1,0.3466721067,3.077366036,2.406124181,5.215559896,10.42789265
FID_013_14,WT,pnd70,F,20.6,0,0,14,N,,2.198422,0,4.222766,5.422196,18.51216,3.832151,3.672774,0.3905119,32.02477,2.213734,16.56527,2.231242,16.63981,9.178664,0,14.48213,0,10.60861,23.42064,14.65215,104.6474,4.428403,0.6175791,1.446253,3.119988,0,22.83349,5.045982,8.542184,3.659987,35.69755,16.63981,43.20792,119.1295,,2.176674,1.387466,3.282242,2.148604,5.084751,3.629351,5.948451,1.458492,5.939982,1.266827,4.377997,5.883624,34.14945,110.7355,18.17266,24.18951,27.85577,131.2523,54.54501,19.61617,32.81911,1.840886,1.475654,1.334502,1.9998,0.1938651,5.135869,1.039927,0.8109634,0.2236268,3.841682,2.83604,11.28003,9.703803,,0.2573606469,0,0.4943426646,0.6347552336,2.167146013,0.4486148975,0.4299572568,0.04571569753,3.749014304,0.2591531627,1.939231232,0.2612027556,1.947957337,1.074510219,0,1.695366197,0,1.241908393,2.741762528,1.715269772,12.25066096,0.5184157822,0.07229756465,0.1693071702,0.3652447664,0,2.673027179,0.5907133351,1,0.4284603329,4.178972263,1.947957337,5.058181842,13.94602364
FID_014_12,KO,pnd70,M,20,180,-2,12,N,,1.269464,0,9.796266,7.639947,32.62656,0,0,0.5577853,52.00623,3.467503,18.48313,3.112625,34.26942,17.47113,0,46.52196,0,12.16262,41.69063,26.11412,164.8888,8.135325,4.790118,2.609566,4.964695,0,33.14173,12.92544,12.60464,6.077069,52.00623,34.26942,71.32437,211.4108,,2.314216,2.139985,4.50503,2.400191,5.747436,2.71493,4.103195,1.700426,5.523623,1.251754,4.646357,5.423711,95.44386,68.34331,23.89326,33.21558,83.58607,81.3076,84.15514,24.29738,46.38581,2.321499,2.146841,1.380525,1.842867,0.2946769,5.240181,1.625851,0.9676332,0.2968884,3.279823,4.558183,17.18171,14.51321,,0.1007140228,0,0.7771952233,0.6061217932,2.588456315,0,0,0.04425237849,4.125959171,0.2750973451,1.466375081,0.2469427925,2.718794031,1.386087187,0,3.690859874,0,0.9649319616,3.307562136,2.071786263,13.08159535,0.6454230347,0.3800281484,0.2070321723,0.3938783654,0,2.629327771,1.025450945,1,0.4821295174,4.125959171,2.718794031,5.658580491,16.7724584
FID_016_18,WT,pnd70,M,21.4,0,0,18,N,,1.352723,0,9.918519,12.70475,39.79908,0,13.94086,6.121445,74.09715,6.374533,31.29078,6.086174,7.513392,15.62965,0,45.74048,33.63598,9.224238,67.20655,38.45351,170.2822,11.37254,7.509021,5.194622,12.80421,0,75.73613,18.88156,25.50896,11.56915,88.03801,41.14937,92.06043,216.0227,,3.144768,2.642537,5.716722,2.905763,6.054297,3.545689,7.302497,2.798877,7.893878,2.380176,6.450561,8.724925,41.98261,97.41478,37.7179,39.55345,58.2153,128.1447,115.4314,26.04977,47.97626,2.572144,2.967725,2.180867,3.507714,0.3388737,8.334725,1.650791,1.610762,0.4107336,5.503734,10.96937,6.640424,19.1626,,0.05302932773,0,0.388824907,0.4980504889,1.560200024,0,0.5465083641,0.239972347,2.904749939,0.2498938804,1.226658398,0.2385896563,0.2945393305,0.6127121607,0,1.793114263,1.318594721,0.3616077645,2.634625245,1.507451107,6.675387785,0.44582531,0.2943679789,0.2036391135,0.5019495111,0,2.969001088,0.7401932497,1,0.4535327979,3.451258303,1.613133973,3.608944857,8.468502832
